Subject_Code,timepoint,cluster,silhouette_sample
NT024,t2,0,-0.013629569458387171
NT025,t2,1,0.6198657376420406
NT026,t2,0,0.18680958690991328
NT027,t2,0,-0.12297484498780259
NT028,t2,1,0.3417138743228586
NT029,t2,1,0.41692316095758764
NT030,t2,1,0.5643106907056802
NT031,t2,1,0.6198657376420406
NT032,t2,1,0.5228741581052412
NT033,t2,1,0.4326396811635929
NT034,t2,0,0.23470776593893725
NT035,t2,1,0.3709968103351929
NT036,t2,1,0.21360357284379092
NT039,t2,1,0.44867215946335803
NT040,t2,1,0.24200252703601144
NT042,t2,1,0.16921657437375331
NT044,t2,1,0.46720724047132195
NT046,t2,1,0.18787400272923635
NT047,t2,1,0.23595657975372406
NT048,t2,1,0.20973045253528796
NT049,t2,1,0.22681502976599024
NT051,t2,1,0.6198657376420406
NT052,t2,1,0.21396768742951772
NT054,t2,1,0.6198657376420406
NT055,t2,1,0.361373386309536
NT058,t2,1,0.39447302237772136
NT059,t2,1,0.6198657376420406
NT060,t2,0,0.23990412496697186
NT063,t2,1,0.5070171771994798
NT065,t2,0,0.14683092901501574
NT067,t2,1,0.5047557853707122
NT069,t2,1,0.31715588122566174
NT070,t2,1,0.41015176502592515
NT071,t2,1,0.5493751844629002
NT072,t2,1,0.5310104364287391
NT074,t2,0,0.2046978939420821
NT076,t2,1,0.6198657376420406
NT077,t2,1,0.4650275438426648
NT080,t2,0,-0.10078486463978571
NT081,t2,1,0.5234175685263845
NT082,t2,1,0.5699251920075509
NT083,t2,0,-0.07682401756411694
NT084,t2,1,0.5023719204756293
NT085,t2,1,0.5360077132828813
NT087,t2,1,0.6198657376420406
NT088,t2,1,0.39167276633220505
NT089,t2,1,0.4277296733426326
NT090,t2,1,0.39439318992740946
NT091,t2,1,0.20099407059763538
NT092,t2,1,0.5633723395428276
NT093,t2,1,0.6198657376420406
NT094,t2,1,0.3894482694845482
NT096,t2,0,0.1974920542009544
NT097,t2,1,0.24401964671183574
NT100,t2,1,0.5830610922668723
NT102,t2,1,0.6198657376420406
NT107,t2,1,0.20973045253528796
NT110,t2,1,0.25104202613256416
NT114,t2,1,0.6198657376420406
