cluster,variable,period_shown,clusters_from,N_in_cluster,mean,std
1,t3_MAAS_total,t3,t1,32,78.4375,6.329335183964248
0,after_MPAS_total,after,t1,88,80.16590909090908,8.683659993815523
0,after_DES_total,after,t1,88,4.172077922077922,5.201359874285692
0,after_LHQ_total,after,t1,88,35.625,8.436800205122164
0,after_DERS_total,after,t1,88,64.52272727272727,16.559177941120282
0,after_CTQ_total,after,t1,88,31.511363636363637,8.099942270521986
1,after_MPAS_total,after,t1,33,75.8060606060606,8.618727407292337
1,after_DES_total,after,t1,33,7.261904761904762,6.21973967016513
1,after_LHQ_total,after,t1,33,41.303030303030305,7.621863488039064
1,after_DERS_total,after,t1,33,86.27272727272727,21.06577901371192
1,after_CTQ_total,after,t1,33,33.06060606060606,7.822001797571522
0,b_DERS_total,b,t2,89,68.85393258426966,16.83040441487164
0,b_LHQ_total,b,t2,89,36.38202247191011,7.683372865506292
0,b_DES_average,b,t2,89,5.98314606741573,5.242076166132027
0,b_ctq_total,b,t2,89,31.741573033707866,8.530064597815246
1,b_DERS_total,b,t2,36,82.13888888888889,18.319626911013504
1,b_LHQ_total,b,t2,36,40.361111111111114,9.429900098782376
1,b_DES_average,b,t2,36,8.273809523809526,5.67107385926168
1,b_ctq_total,b,t2,36,33.47222222222222,8.303135762593762
0,t1_MAAS_total,t1,t2,87,71.02298850574712,7.8606719215348155
0,t1_DES_total,t1,t2,87,4.552545155993432,3.384746552932493
1,t1_MAAS_total,t1,t2,35,71.17142857142858,8.438308006751516
1,t1_DES_total,t1,t2,35,8.295918367346937,5.492058624989266
0,t2_MAAS_total,t2,t2,94,76.20212765957447,7.003194028954482
1,t2_MAAS_total,t2,t2,38,74.02631578947368,7.7406852204030105
0,t3_MAAS_total,t3,t2,81,79.44444444444444,6.659579566308971
1,t3_MAAS_total,t3,t2,33,79.03030303030303,6.724418415766751
0,after_MPAS_total,after,t2,88,79.41477272727272,8.87168477530345
0,after_DES_total,after,t2,88,4.918831168831169,5.856884349077053
0,after_LHQ_total,after,t2,88,36.53409090909091,8.017149525883632
0,after_DERS_total,after,t2,88,65.5909090909091,16.636503531053844
0,after_CTQ_total,after,t2,88,31.852272727272727,8.780254457506231
1,after_MPAS_total,after,t2,32,77.17187499999999,9.26008550002331
1,after_DES_total,after,t2,32,6.383928571428571,6.706578329525366
1,after_LHQ_total,after,t2,32,40.90625,9.505038986192126
1,after_DERS_total,after,t2,32,86.34375,20.526315721453138
1,after_CTQ_total,after,t2,32,34.34375,7.258407249972381
0,b_DERS_total,b,t3,6,79.83333333333333,16.570053309107568
0,b_LHQ_total,b,t3,6,39.5,6.6558245169174945
0,b_DES_average,b,t3,6,9.880952380952381,7.8949307769472625
0,b_ctq_total,b,t3,6,33.666666666666664,3.5590260840104384
1,b_DERS_total,b,t3,110,72.5,19.212357452928117
1,b_LHQ_total,b,t3,110,37.63636363636363,8.67848470340816
1,b_DES_average,b,t3,110,6.724025974025974,5.242182661418395
1,b_ctq_total,b,t3,110,31.98181818181818,8.484180441551445
0,t1_MAAS_total,t1,t3,6,66.5,10.034938963441682
0,t1_DES_total,t1,t3,6,10.178571428571429,5.223328753324466
1,t1_MAAS_total,t1,t3,105,71.57142857142857,7.570002975887463
1,t1_DES_total,t1,t3,105,5.63265306122449,4.416851611333274
