,CT003_ses2,CT007_ses2,CT010_ses2,CT012_ses2,CT013_ses2,CT018_ses2,CT027_ses2,CT029_ses2,CT032_ses2,CT039_ses2,CT041_ses2,CT043_ses2,CT046_ses2,CT062_ses2,NT002_ses2,NT005_ses2,NT015_ses2,NT016_ses2,NT017_ses2,NT020_ses2,NT025_ses2,NT026_ses2,NT027_ses2,NT031_ses2,NT033_ses2,NT036_ses2,NT040_ses2,NT041_ses2,NT044_ses2,NT047_ses2,NT049_ses2,NT051_ses2,NT056_ses2,NT059_ses2,NT081_ses2,NT082_ses2,NT090_ses2,NT093_ses2,NT096_ses2
CT041_ses2,2.0027168720292803,2.7263231249594506,2.2712354417807865,2.0683801714714805,3.1508479976696475,2.124436006360307,2.572225273450879,2.813533752443567,1.5397103453854593,2.594021348971522,0.0,2.5741527859816298,1.917980832818436,2.6367982405758164,2.1860592185548624,2.551988561405604,2.9061438723532875,2.2842129076963813,3.2043549765984527,2.4517923031628124,2.6123009501145167,2.624101879299847,3.033064923059984,2.552356554928575,2.0026216133399637,1.910780264112779,1.7873190411804063,2.242448503515798,2.0060557974226105,2.3781356141337042,2.1621217605591596,2.7155069353232992,2.9478668725037176,2.1233439393188895,1.7644102686232734,2.76847340926895,1.9587843597037575,2.251908584256247,2.4136271278919295
CT043_ses2,2.4597593318885402,2.897790988478797,2.1466482340270137,2.0138453744850704,2.9073021389100244,2.1976824443078664,2.932540146404015,2.908495235800942,2.3443822518881268,2.4279035319769138,2.5741527859816298,0.0,2.3061813960575472,2.6943474322845544,2.523063116116778,2.902056703668311,2.9668366271093074,2.6343912136238132,3.1110923083098854,2.91177300113758,2.717755024610127,2.250999028691873,3.114531211429664,2.479375519840166,2.508264819992218,2.4351450702526773,2.5333517037472717,2.7129021610938593,2.568354407076484,2.7331420688402837,1.8576790529161555,2.2430087084359642,3.359579111175449,2.17349236351621,2.401014369619223,2.9410809923402486,2.5815649588373657,1.7291629740817713,2.8102455396402255
CT046_ses2,2.697794098601265,2.1516163163442843,2.1948163084386647,1.673070826221065,2.282117376035639,1.5518027740074805,2.0509441478194215,1.8110584902420408,1.8300617271831565,1.7510639001185497,1.917980832818436,2.3061813960575472,0.0,1.596666632095623,2.230939877298901,2.185801677506984,2.8204965358122727,2.228112284281615,2.4862421491772744,2.004987298883395,2.1261909281455806,1.9916433774403954,2.9148893061921135,1.9413659173093891,1.919843630028288,1.369750943496452,2.1323229991741037,1.8058319919233177,2.025936037377194,2.22664181660613,1.8366950305566074,1.9255547106774014,2.7989145558430284,1.9755461640800316,1.8198070523249346,2.713752246069474,1.897507106518696,2.127206099796619,1.759331076060167
CT062_ses2,3.060421678780058,2.1989053762522657,2.913753696501409,2.013414914847177,2.4286565571078733,1.775123304598846,2.2686346133661646,1.4077862755649477,2.19964505232154,1.5393971440593648,2.6367982405758164,2.6943474322845544,1.596666632095623,0.0,2.2021050513035867,1.8239229166688475,2.6289040766837237,2.5735373937396893,2.80756590759026,1.9583818708830782,2.452059194479686,1.7674305475028973,2.7669822212129054,1.8652602929206106,2.626269157294549,1.6261226468434098,2.1736447682475495,2.129143236057949,1.8740160064109541,2.188623262047728,2.1385594092132143,2.328917503911351,3.0307911282043802,2.254924669801771,1.9736269257642263,2.874752838258619,2.0580473620982156,2.3865232481178187,2.0598586826264897
NT002_ses2,2.9073451798822973,2.830067111656007,2.744915614059973,2.303774475543339,2.689896611366776,2.3148305190007616,2.4363722119266664,2.0764308139303593,2.1346702497448935,2.127079440897022,2.1860592185548624,2.523063116116778,2.230939877298901,2.2021050513035867,0.0,2.2342247071189263,2.629707937690674,2.3457987048020303,2.8559688532640033,2.124242490608992,2.2767360230269102,2.194452618042128,3.00750273368256,2.458046288225046,2.693409958113018,2.093224139940155,1.9956855172581112,2.6170757980502466,2.0621722942536915,2.393752932112765,2.1933116892529227,3.018190831535013,3.22510171614722,1.7409355381276121,1.8601832118789607,3.2506477266294804,2.068972045982976,2.4765464544459976,2.3721188712110086
NT005_ses2,3.327904515526459,2.3279527877662187,2.9652366684872233,2.474236487249288,2.7179915111953727,1.9932099249097583,2.603600934387951,1.8699734634536456,2.4043007908949336,2.0811212150607727,2.551988561405604,2.902056703668311,2.185801677506984,1.8239229166688475,2.2342247071189263,0.0,2.500872916277362,2.676831979910532,2.996371183856551,2.6338209239252857,2.468541068995563,2.4130821727070666,2.8649435270222003,2.0460308178403195,3.1193374592232646,2.0599068469784334,1.7955381210733632,2.2538296514757152,1.4202671352285359,2.4224826880889445,2.5051964720471895,2.952236318958994,3.3043149355913517,2.3954751933250984,2.110491365135189,3.239225622535246,2.6746823976011194,2.7377837136512775,2.6706818852639675
NT015_ses2,3.2832273016062645,2.3683528878172186,2.7691466342271003,3.114089681967687,2.688885136976423,2.2135502441954378,2.8439542430398554,2.806392734183576,2.911489976978963,2.5406281769593293,2.9061438723532875,2.9668366271093074,2.8204965358122727,2.6289040766837237,2.629707937690674,2.500872916277362,0.0,2.6090311023433395,3.16735788867187,2.7827381823782833,3.1111986237154174,2.521979095316366,1.4839553895411557,2.409311114034104,2.919534436583123,2.8004450612858296,1.7780086904363772,2.306604959492915,2.098213232096286,1.9934529141955108,2.719066157966226,3.1769386956925505,4.0968217248860785,2.3103776253899624,2.4787792421965693,2.485864406525932,2.6747536717770624,2.6868793304790506,2.628966601673809
NT016_ses2,2.4532986435188078,2.8978230282974886,2.699917754453243,2.48792297552975,2.7238651083926393,2.1531915430282234,2.13661359959938,2.5219134671531,2.287016807168486,2.494365735612737,2.2842129076963813,2.6343912136238132,2.228112284281615,2.5735373937396893,2.3457987048020303,2.676831979910532,2.6090311023433395,0.0,2.92684647710474,2.8334645431358396,3.0315632231193614,2.39475545431422,2.735181242006506,2.553940848388953,2.455616022577487,2.3250619285887226,2.113717231686703,2.4848541231887116,1.7678372493112526,2.6435612884695887,2.006305170224671,2.701392517401603,2.890570486171672,2.352762316809561,2.27226826039514,2.764532784320156,1.8899454495247503,2.535202387870412,2.647634379176185
NT017_ses2,3.7812190865615323,2.3078103003689856,2.8470333389662605,2.88676041847583,2.8305756163363744,2.6977174819655825,2.4260872138758125,2.928860897800781,2.721362120131439,2.372761761091244,3.2043549765984527,3.1110923083098854,2.4862421491772744,2.80756590759026,2.8559688532640033,2.996371183856551,3.16735788867187,2.92684647710474,0.0,2.631825604388224,3.2530250910607372,2.8517818950533282,3.278003213897563,3.1723451592545455,2.9060934078966976,2.556034758629059,3.1715842171770063,2.5300145130525604,2.7346918632353687,2.8962894231857805,2.664873273608681,3.2193241043894454,4.156691684491348,2.724081848709679,3.15744953654163,3.273099310230742,2.7911572179880664,2.888105085053056,2.588372422844069
NT020_ses2,3.274165685894977,2.3899519841122228,2.9276585510864237,2.159698086638595,2.725293800391076,2.338251886341891,2.467988748842603,2.0915729446915043,2.1456919646666295,2.139807365425579,2.4517923031628124,2.91177300113758,2.004987298883395,1.9583818708830782,2.124242490608992,2.6338209239252857,2.7827381823782833,2.8334645431358396,2.631825604388224,0.0,2.6488600272098815,2.18282257041408,2.867981000352519,2.592469753248326,2.795614937237216,1.747092659848939,2.33745988549759,1.7926330862507602,2.445480680842375,2.0434094737072974,2.6077177522672352,3.22194461803217,3.835672508365559,2.1153630806237347,2.122961209906907,2.8302030960626383,1.916446086571102,2.4916000735343955,1.8381906774753751
NT025_ses2,3.2244525613663844,3.0100551278445993,2.7464773904069975,2.579290449396473,3.052251597885135,2.5422428070728174,2.865072626437249,2.299405479342512,2.1938232899656427,2.4872252860043225,2.6123009501145167,2.717755024610127,2.1261909281455806,2.452059194479686,2.2767360230269102,2.468541068995563,3.1111986237154174,3.0315632231193614,3.2530250910607372,2.6488600272098815,0.0,2.873355966945531,3.5443991081295727,2.749009186913534,3.1174303269040116,2.5007095075580485,2.15967700982663,2.8370378096049795,2.7059913270434857,2.6538771613123635,2.4534800694667194,2.8835033633767444,3.631029334043436,2.5373966381812685,2.0531523888023537,3.806664513437493,3.0369023083274564,2.7324857794534805,2.1787284253406516
NT026_ses2,3.136157620026727,2.5649606967499925,2.578955791906761,1.843856777721182,2.110056144200131,1.918553812889614,2.1745005349877213,1.931991270028522,2.2080739792925392,1.9496531243778976,2.624101879299847,2.250999028691873,1.9916433774403954,1.7674305475028973,2.194452618042128,2.4130821727070666,2.521979095316366,2.39475545431422,2.8517818950533282,2.18282257041408,2.873355966945531,0.0,2.6457216313398746,1.9547815707362484,2.3983898941945494,1.9181017880614026,2.0635428231942514,2.193139333150429,2.22025681594517,1.9450520727458807,2.1039937963548936,2.4263480742409955,3.0517158547756686,1.9939465864703714,2.193451191090247,2.5517908933764653,1.6697687708990774,1.8660861766145227,2.4849172313740078
NT027_ses2,3.2405603882377774,2.38664001763365,2.8475855023905035,3.257246861131911,2.828384691595443,2.1902937810787404,2.741179826748944,3.0815907148273225,3.021830533750479,2.901058004377502,3.033064923059984,3.114531211429664,2.9148893061921135,2.7669822212129054,3.00750273368256,2.8649435270222003,1.4839553895411557,2.735181242006506,3.278003213897563,2.867981000352519,3.5443991081295727,2.6457216313398746,0.0,2.11025412662412,2.776537512611811,2.804083949080214,2.2312574156021476,2.208898503991072,2.400640097055828,2.4702971161511282,2.8810826199046797,3.0768423272035,3.9117477014930753,2.260387345844529,2.5746639030793226,2.375283772150198,2.571824577395965,2.604199451182169,2.577489709981774
NT031_ses2,2.940591723191338,2.331485114741806,2.7591091417959315,2.4362145994200666,2.4033087419749504,1.7340062232227624,2.317476320830693,2.245764298103943,2.5390554753729457,2.316100423710188,2.552356554928575,2.479375519840166,1.9413659173093891,1.8652602929206106,2.458046288225046,2.0460308178403195,2.409311114034104,2.553940848388953,3.1723451592545455,2.592469753248326,2.749009186913534,1.9547815707362484,2.11025412662412,0.0,2.297995339923342,2.134719202554292,2.0610579325454657,1.999375576410083,2.1849678467039078,2.2941207301029376,2.3234204906160962,2.262044241929718,2.8457461570940974,2.0831936446670354,2.155939939810709,2.7103626678516037,2.1409623980222676,2.181132487828279,2.354831331482553
