,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38
CT041_ses2,0.0379160299465751,0.006009152201059901,0.0417859123017934,-0.02149073226268924,0.00750069406759475,-0.016895163556627124,0.00247971268601212,-0.009223422683484979,0.009096384076566804,-0.0006440175107610816,0.0007211030726210005,-0.012246413689861546,0.0017219927558431072,-0.0009593554529578012,-0.009415279141374836,-0.00044873196077296293,-0.005967699017599284,-0.007869891577675108,0.0023394345559864583,0.0030256339098328525,-0.003736772421150869,-0.005979324754080156,0.012292312883695871,0.006824217948841473,-0.003454676924052872,-0.011911543564287424,0.0014205311027836018,-0.000548961136708008,-0.003251924427771726,-0.0005153453548600911,0.0013294424374313486,-0.0010600961946645741,-0.006313008457483238,-0.003746370927723092,-0.0014653820601533373,-0.00010020335147106683,0.0016824916652880616,-0.0009118100261617453
CT043_ses2,0.046982297841492736,-0.004452845254151213,-0.008567170835879755,0.0019579198355114953,-0.006554600423569915,0.03457269559770438,-0.007358522884272039,0.004287136127392202,-0.017678415678947946,0.0032038812560990482,-0.0005220149043900271,0.00030563119887032874,-0.012054944971224713,0.02060829906469018,0.005803311989701132,-0.0056651006315189744,0.006521555610652341,0.001572963786934909,-0.012345507763224132,-0.004257459719183772,-0.000353682528949711,-0.010403644616947148,-0.00525794217963697,9.798131950697682e-05,-0.007228917370951475,-0.007398262672083235,-0.006648858859244332,0.00037580347800715276,-0.0026012910261872715,0.0027763789664951794,0.003853750495216688,0.0008730147985661163,0.0011428427366272646,0.0013224506548232327,-0.0011971448502387896,-0.0005562690801759943,-6.507708495292715e-05,-0.0004241701504488144
CT046_ses2,0.0037058474344456717,0.0281081816517657,-0.015243803536420854,-0.007360469142987818,0.0035768933174634655,-0.0033049249705936873,0.02143254011819506,-0.008693180089856221,0.004922746243013137,-0.0004530513033657181,-0.005892218806757688,-0.0027693496581907315,0.011428803436081271,-0.0049794420461735924,0.009127308781968747,0.007951146805254855,0.0036635250589624915,-0.00499491985536757,-0.005345573942926087,0.0018780853517236416,-0.0011345764912368474,-0.011528466581832986,0.0029141410661005806,0.0008774315655365422,0.004533053409111357,-3.502950610638274e-05,-0.005810738956697364,0.00311967389171335,-0.006633027370634659,-0.00018507530923009142,-0.007726362662607307,-0.0006077709055371753,0.001042513467042623,0.003004252772694147,0.005333912538659004,-0.0032283226307262014,-0.0033249842575436683,0.0031311582139308836
CT062_ses2,-0.03141350980647665,0.03460878234158964,-0.01280733044532552,0.014426767410320427,-0.01670796595749779,-0.002974941678793181,0.01864011035798636,-0.0049379774160484,-0.011111275402225437,0.009969257240307698,-0.01003429638449463,0.006332703638376487,0.004683456020150374,0.0007639568900857706,-0.003832096856895027,0.007913428042674519,-0.008139717567919594,0.005471066029787183,0.0016570097215052532,-0.005057839163683216,0.0019249305980160128,0.0014267315502552043,0.0021108854272912686,0.004036841432352195,-0.005671873010298231,-0.0003224467249661321,0.0009410322494453257,-0.001775449146434965,0.0021388070365928762,0.0047575241177701495,0.004203592719452137,-0.0077448804296739015,0.0045531850393661245,-0.006078209698937066,0.0026685370566160993,-0.005290868773978178,0.0015651577476640003,-0.0011850518311828859
NT002_ses2,-0.006907258971452273,0.02785717425259895,0.02584655207122168,0.001011405922492373,0.0009328072119401456,0.005946878865318561,-0.024090720252480154,0.02329290082761363,0.0002688982089066788,0.0021319401365566056,-0.015584416463093238,0.0035952385469149016,-0.018083987273869968,-0.013991217396063838,-0.001158563471158058,-0.006632041630838964,-0.003745132023393767,-0.009786119156600308,-0.003551669976039417,-0.011093369048034067,-0.011325289686995546,-0.001434121225838671,0.0008201088126440971,0.005591630163473889,0.008110114789235946,0.00356938130472148,-0.002250375006356807,-0.0007897757777381687,0.002649795565794706,0.0003150656113302743,-0.000672147790493519,-0.004382121486754573,-0.0003373263232696707,0.003764894139425023,-0.00022848888462040232,-0.0012167588687226117,-0.00012652512185743292,-0.0017540961216775204
NT005_ses2,-0.03698752509982297,0.021689055488438705,0.023868650067285207,0.03291238564804867,-0.005055612145864025,0.005508804706754521,0.002443886286717649,-0.027328052986878192,-0.012867141083904157,0.003489755117734703,0.0017089248027860541,-0.01265102722423546,-0.01276552919057412,-0.0014813452762802272,-0.0033346786947608164,-0.005592985607423559,0.0076128524527599465,-0.001895348193830247,0.007276423529822437,-5.6087765757633864e-05,-0.0055537084631273395,0.008773306369263878,-0.0007394668562766144,-0.008522972403794361,-0.0014207149073496232,-0.0008458065291889323,-0.0038686340659380754,0.00545066838084801,-0.0036784768320380326,0.0004760323271572576,-0.0008138031097151429,0.0026617390566826054,-0.0020017378186941953,0.0011418882707516643,0.005476803801081274,0.0008223431608581282,0.004237010031673439,-0.0013184162848853972
NT015_ses2,-0.03754424328049477,-0.05859768213922363,0.026682816861181933,0.016776014887871848,-0.0010337775809830501,0.016332735292256397,-0.008010603330935125,0.009239629955597524,-0.00475094940946284,0.007382480000325956,0.004511119273479757,0.00014795368290052789,0.013430333424864811,-0.0018740055914719105,0.0012615182855621764,0.010672307690040683,-0.007156948668879866,-0.004384969887508583,-0.008005078259162477,-0.0006727850093456273,-0.004608676575589475,-2.1792637643008287e-05,-0.0008664472296881757,-0.003268040654166829,-0.00019789304087404323,-0.0014368153046518128,-0.0019717557319203706,0.0027876528851732015,-0.0013956301642479366,0.0021721946011498223,-0.0066898602164623166,-0.004104023236442815,0.0025849985023570477,-0.0024460508019131973,-0.0042082094091770265,0.003195837971579974,0.004823119665876959,0.003134184982295649
NT016_ses2,0.017225617512479655,-0.008639772957945468,0.015495012520779554,0.014248064083590566,0.003517664720731744,-0.028841635989088437,-0.02782393806003383,-0.0039056600273778526,-0.0070691102928628615,-0.0073336617204552,-0.009412623381525194,0.01936250307607063,0.006926192794407705,-0.0014779808882837068,0.017709603585496902,0.0056783486555093314,0.014117704276453577,0.007222288376938416,0.0006711410555315199,0.009684040419552179,-0.0040516365586635355,-0.006909099815209796,0.0024414796935110557,0.00011247852937419364,-0.004077174063796432,0.00047339810694721566,-0.00044936883387603735,-0.0009391804105232828,0.008107776329789514,-0.0011028571867283045,-0.0005979377529544362,-0.0007582033335211121,-0.0022189876620454163,-0.0009592903460714497,0.0035753970474190367,0.0015052880115074547,0.001881285713207638,-0.001058545406612105
NT017_ses2,-0.01883248835543162,-0.0036058091913587866,-0.03321167547033381,-0.0163523289789284,0.04881279014440622,-0.0013991004094948388,-0.025857461564834046,-0.0057383695679329525,-0.028746613785239104,0.013093131441673123,-0.008569449676355362,-0.017742475851987606,0.0012435488250329286,-0.01229376036579297,0.005896398936967003,-0.010817061044728798,-0.005803439526227657,0.0056799267475407655,-0.0048784740902298365,0.008642557217927739,0.009883280914365581,0.0026729188128594788,0.0021703183034108564,0.0026170058911738465,0.0004912212970262654,4.7813059103123374e-05,0.001445494210115512,0.0014533753199918677,-0.001217728951805508,0.0022775489008507203,-0.0002945013333246488,-6.716227618418371e-05,0.00039143695153621267,-0.00022451960983146626,-0.0007700887081834654,-0.0004742738343698143,-0.00013696885737719716,-0.0006870569630456306
NT020_ses2,-0.03325945513680737,0.02076445461476153,-0.002004008972324433,-0.04000706900811584,0.0008051497694976437,-0.008207362929486924,0.0063114233608879905,0.02498431925313406,-0.001518469873367566,0.023455487250514447,0.0026073260552956627,0.007165520922146859,-0.003090809658362544,0.0012489169754783167,-0.008049567107401621,0.0014298627236517321,0.014110109516556354,-0.0011360702331360845,-0.005570956265465173,0.00530916723397309,-0.0066927699097055985,0.008327198320529581,-0.005437351159306021,-0.0008669858636318482,-0.010465533972875191,-0.0009739862585606243,0.006610256258568426,-0.002746166164871253,-0.0020765795946563314,-0.0030154849036119224,-0.0038402848746847446,6.691458065716686e-05,-0.0024131846867188026,0.0018637551483242209,0.0001364502063758831,-0.0017557065718769144,-0.00010848806390579515,0.0013316289184859345
NT025_ses2,-0.002606325230201397,0.03809656140292857,0.025277751065147812,0.003000801177729824,0.0256402667513727,0.03069190465872216,0.01659250854525996,0.021897912985099625,-0.013652249488321604,-0.02432722645710226,0.011009470849098176,-0.0001424953063836462,-0.0009870555823118018,-0.00655424628687495,0.015656239621197145,0.004449819010832162,-0.0011773697705949452,-0.007340628157194493,0.013466491428739243,0.005558726264266366,0.004864752344243711,-0.0009355160090996099,-0.009079001874511994,-0.0027025631262099807,-0.00038057649423400104,-0.0014681897603641787,0.0009250941853806291,-0.0059468809368922225,-0.0007588420467782699,0.0004369935315746619,-6.432196900601297e-05,-0.00147899190191988,-0.001763630971141076,-0.0024566098561869436,-0.0010683288414751716,-0.0002573434451605964,-0.00030065501251560193,5.110907055287969e-05
