,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39
CT041_ses2,0.007728401260972274,0.0026413584920059164,0.007116370953938274,-0.012701845647436514,-0.012103126930056633,0.012107792004297504,0.007003179875755047,-0.010514875075713732,0.00041342409970983215,-0.005062259499156474,-0.024079098048767875,0.00417578773979217,0.006399039406342412,0.004735829225061355,0.007232305362417605,0.011264496927715204,-0.004899183323542004,0.001311359693277085,0.0025694549360695007,-0.002820071445129028,-2.4090291706621094e-06,-0.0005174537619717785,0.005091003899059957,0.0014917777015440693,-0.0030927926313533863,-0.003321377014360993,-0.006821890917134722,0.00018213966889992883,-0.005822549850115812,-0.005145501510632585,-0.010576612783967808,0.003826451552711225,-0.004099586356317365,0.006273278880388446,-0.001176321814735906,0.003582932693256132,0.0027018566099304025,-0.0012185330459517725,-0.0009465459512388203
CT043_ses2,0.0012078945106323699,-0.003544635189513069,0.014191870729083055,-0.0001979213186529789,-0.003424302321015291,-0.0025296474987824866,-0.001671004535407632,-0.01345458723715798,-0.0032329138962562663,0.013792671963290282,-0.0020761629851758843,-0.00022068443682862242,-0.006102885841837673,0.011404845656791274,-0.01235878422421418,-0.017947226866234994,0.005600375230564381,-0.005832021607120303,-0.001166593501933869,-0.003752017673849562,0.0036005893022810135,0.010027380175682403,0.010878513410471486,-0.00058636361104625,0.008957480771231232,-0.00285432390501821,8.452647205927653e-05,0.0058962050435512085,-0.003143317994692174,-0.008800395421218752,0.005605655759581284,-3.256280806632495e-05,0.001551445120724687,0.003919811183411078,-0.004748079308376944,-0.0017014716848399228,0.004075326603581676,0.00451026755835154,0.0005328358449142918
CT046_ses2,0.002626541872756904,-0.0013935495422579681,-0.01036484895338103,-0.0015137446770288941,-0.014232060019394935,-0.0011610788582985965,-0.0019559593587311595,0.010478681293346382,0.0017436952123569367,0.0020471641338480756,-0.005391585157345413,0.006064185641779501,-0.012063125228637861,-0.002311540498621213,0.0029158938583689524,0.0073376410390609825,-0.0037473993715857246,0.0005846774956253286,-0.007476883096818215,-0.008823084352731193,-0.007951092532807099,0.00967418820763149,-0.003116831477679072,0.006520535035441109,0.001149194349035299,0.0014324964623004042,-0.002745843687521623,-0.0022299284618914,0.00043717514998637964,-0.004510749601981587,0.023702726805164196,0.008716849546646803,-0.004294029887968174,-0.00013036625819793103,0.00042514217253485065,0.002844119684914791,-0.0019235978930379877,0.0005286494891378914,0.0011684756063573692
CT062_ses2,-0.0004294665813251735,0.0035230202709235305,-0.006571982101679258,0.005904417137210942,0.0028233538753654713,-0.0059813184640435495,0.002173563840541557,-0.002607803176033607,-0.00555803442209029,0.010489763732755278,0.00442110412165693,0.012520256154421112,-0.003531562387228698,-0.004053713804899027,0.016786096986193107,0.0033061840097995698,0.013156908794544817,-0.002076550112840496,0.0029974956175501835,-0.002618806709150123,0.01350990971728149,-0.00491484731780344,0.0003482533741077716,0.0007567683197914855,0.007477188417118243,0.00627905832396439,0.0016898629463532606,0.003781431722734709,0.004858005396707041,-0.010255626413626333,-0.006541563177819977,0.006369830715690013,-0.003606391038860527,-0.007529247617367908,-0.003082876356973995,0.012552211907245462,0.001201863631608766,-0.00327680462638046,-0.004236202064722762
NT002_ses2,-0.008414499267768438,0.0031033683849815905,0.018460501269975012,-0.0028462246361817866,-0.014429802439852273,0.005426914950057549,0.014265379154538472,-0.0017911625966546215,0.011035593207184941,-0.009330994949198987,0.01584919428971858,-0.0023008582489024124,-0.011398919493286414,-0.006485411135707232,0.010154650077288748,-0.005501250227808954,0.008871562153354648,0.005179296620723925,-0.004618390693803571,-0.002272375896268716,0.005464258531337359,-0.0066767680191768194,-0.0035179634918444088,-0.0007049590829824925,-0.008653078466914809,-0.002798965722741662,-0.004989427008773206,0.003745928887422429,0.0009581265564436519,0.0016416870469398049,0.0034816771713809804,-0.0023696273467623324,0.0033284669946196522,0.0049855309870044506,-0.002423802317244544,-0.00214483061788172,-0.0015195588036279605,0.0024176014997822092,-0.001946937624478609
NT005_ses2,0.004882524882384752,-0.005850836171000359,-0.011400438653761297,0.0018506371297485438,-0.0019538711712796626,0.005801766441645379,0.011118615985227216,0.0007559592152585975,-0.0015448797774570435,0.005315617987375236,0.002388455935514629,-0.0004205566616464827,0.0020446890616494014,-0.006808520567477704,-0.0102812196931462,-0.006122377944593561,-0.01314651884275751,0.005584940356805555,-0.0014268538599774736,-0.01731217625343632,-0.0014075166643525178,-0.013834617276217459,-0.004382198256180449,-0.00661744159377448,0.006314093450279534,-0.010549873080914993,-0.006855695813466391,0.005599717098917653,0.005123728605666659,-0.0013328639582460367,-0.002625290040445433,-0.0013360270356151216,0.001030433121200611,-0.008464312556125725,0.002379839343058642,-0.002162823701408626,0.009980021830867327,0.0005377318628589845,-0.004248338922139337
NT015_ses2,-0.018957551267011423,0.014691977933038143,-0.010182460587049313,0.0002744366506828105,0.00756896651899331,0.015884337328853977,0.004554248652590568,-0.0042842796118926964,0.016667209731117915,0.006201037934761343,0.005653009245832927,0.009435343811067089,-0.008350928503970657,0.014667885746666632,-0.0029283810220273546,0.0025145367920925326,-0.009082630909079795,-0.0012314579574727326,0.005354660346010016,0.002941151896965093,0.0035857752110803683,0.0059383337189646635,-0.006657071290209463,0.005128551369010046,0.003613026853190422,-0.0011919796004611497,0.0014649134577540618,-0.004293220039572217,-0.005217059109457245,0.0016335234864973628,-0.003382501832334483,0.00022333171035404786,0.003766381082181658,-0.0029517338598725584,0.0025328156937810134,-0.0008468591525317086,0.0015674543970244238,-0.00013619658290690964,0.004280322533360882
NT016_ses2,-0.0007068244105112388,-0.001426785325459699,0.005736340689611506,0.008791113093523158,0.005803617503233698,-0.01701788215700389,0.019566459859013133,-0.012126549083194316,-0.01334128164739879,0.0006775714382075209,0.0024578489833531735,0.006822051413754044,0.0010120774539512367,0.005467991467515982,0.0018699825209342507,0.007094348225920648,-0.0025458807597642306,0.005485148744673489,0.013092192943940534,0.0023933185008674883,-0.014297000355799625,0.0012706669373228731,-0.00682988174677623,-0.0036323359726103907,-0.005374853682765238,0.002596752374197137,-0.004556053725975258,-0.0055934688091709706,-0.0012365717891512534,-0.0002544476147213683,0.00485541322549642,-0.0007685321487375354,0.0034325501150932088,-0.002614525047177589,-0.00425418116120143,-0.002556376989945062,0.00012238405218691054,0.004512504855468263,0.005746414458633029
NT017_ses2,0.00830519989039202,0.0035694322669933298,-0.0035955259855378614,0.004208053086837725,-0.006689226521171429,0.003027602310615663,0.00259889086504001,-0.0013091941685939193,-0.003068982309625881,0.004579318343826259,0.0004968731200687544,-0.0016108636896085247,-0.0009580968391907896,-0.0011332541343981788,0.0009471623450675564,-0.003850033573093437,-0.006088195651279824,-0.007700974555031414,-0.003956516731201968,-0.0009157404739465647,0.0005945440575244154,-0.00016439974848903548,0.0034805992723109798,-0.0033112508442270914,0.006175477387417572,-0.004418350407938551,-0.006226694480704699,-0.009030322635124054,0.004067555274133839,0.002684684682460792,-0.004756927075249517,-0.007259138518661493,0.004854513773302748,-0.0024001284723275495,-0.007260061278566859,0.0009215792747936676,-0.02784886259946333,-0.005700648114565923,0.0036631775368278995
NT020_ses2,-0.026459732642368193,0.004497521077245816,0.008646588080422594,-0.00399699938965523,-0.0034347143112817453,-0.0013764028618657904,-0.018159407448360917,-0.0030188668950719604,-0.015363953073173968,-0.00595261258289071,-0.00018357933563885277,0.01054557241029834,-0.004809075541827386,-0.009894888803183679,-0.006044322540821773,0.007039247931997106,-0.010513408057215215,0.005348927943563448,0.0009455826848847892,0.002073178647156722,-0.00042867922756642356,-0.00393802468998469,0.007697938286431135,-0.0025733333718442756,0.0019479419137667683,-0.003103216261762107,-0.00010490086129095958,0.009097978701789569,0.0006863247623736307,0.004156046488749282,0.0007923426375726637,-0.004661233472344733,-0.002207867310185399,-0.003382045582040175,-0.0032939164608163725,0.0033571262554312987,-0.0022457181625139553,0.000374441131766517,0.001476889799725291
