Subject_Code,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,Cluster
NT017_ses1,0.0053891755534479,0.0018894870504527,0.0004590016264564,-0.0003147657105869,0.0006975569854418,-0.0010675542120565,-0.0001658316233881,-0.0006320391405478,0.0015110733118591,-0.0002098570056771,-0.0006902940955507,0.0001982243670578,1
NT019_ses1,0.0035635338183118,0.0001586947975225,-0.0017180490095692,-5.194169901280132e-05,-1.2975258381474816e-05,0.0005259075444144,0.0002812104865962,-0.0010857215093637,-0.0015610071140638,0.0040820845448774,0.0007314833060514,-0.0009596291558347,1
NT020_ses1,-0.0006684675371804,0.0013088587664143,0.0047455948574046,0.0016139461447442,0.0036319568951866,0.0056413279329259,-0.0043936700192574,-0.0045194484955407,-0.0019984665297269,0.002839627112381,1.161804506950305e-05,0.0013728627029415,0
NT025_ses1,0.0009379568369833,-0.0022381817934918,-0.0023376696345429,0.0026583235667938,0.0017128148699695,-0.0038287905106164,0.0001374293787702,-0.0008529809957309,0.0001125081119826,0.0022649191124334,0.0020771123935464,0.0035217000398412,1
NT026_ses1,0.0026384656622936,-0.0021204700396266,-0.0044496032319051,-0.0022906817138446,-0.0027260958093624,0.0005648799596344,-0.0037770611572662,-0.0022965487467332,0.0032561912080928,4.750708162761775e-05,0.0010367413393985,0.000235533537199,1
NT027_ses1,0.0022763926949597,-0.000356912423894,0.0002217365048704,-0.0012717419349429,-0.0039950762544834,-0.0006145475114692,-0.001419924491024,-0.0019651720202981,-0.0005610496292651,-0.0004796595702493,-0.0011992538564112,-0.000608937211807,1
NT028_ses1,-5.331824964254737e-05,0.0016705177328521,0.0022625530115133,-0.0017422734782671,-0.0002020992242243,-0.0026165049482922,0.0017044313109698,-0.0006130555060162,0.0005662192470822,-0.0016647572048619,3.274435930697048e-06,0.0026168259538612,0
NT029_ses1,0.0015525279277243,-0.0018942833063629,0.0035182954475383,-0.0020685983743562,-0.0006470956003947,-0.0022507865889778,-0.0022905636206418,0.0008637644456246,-0.0006174792514363,0.0031317270509653,0.0029741779668068,-0.0033837554921449,1
NT030_ses1,-0.0002522856059776,0.0007477861793625,0.0022391733788724,0.001179204040537,0.0024355248442443,-0.0012444265343506,-0.0019920888787244,0.0004863628743827,0.0003716655830576,-0.0019767314940013,0.0004079134591817,-0.0007504233092752,0
NT031_ses1,-0.0010522613546505,-7.217440694218578e-05,0.0001645168995047,0.0007730336344648,-0.0013892801283219,-0.002153633199633,0.0035086872982524,0.0031583259948424,-0.0018937131420735,-0.0017882610507782,-0.0015624146971271,-0.0011295888653432,0
NT032_ses1,0.0026090722780613,-0.0015791126910366,0.0006753371373468,0.0009398173935373,-0.0007287578880625,8.130965247680523e-05,0.0022675408813682,-0.001905315195146,0.002308555313915,-0.0021532603805316,0.0004951886871785,0.001069113210067,1
NT033_ses1,-0.0073738310876047,-0.0006982663759024,-0.0026997215004111,0.0002412740672679,-0.0007261913796981,-0.0015427087668827,-0.0014510063450855,-0.0033444039753379,-0.0012728622224066,-0.0009543879223313,0.0019487381779758,-0.0067375681571364,0
NT035_ses1,-0.0030604735465342,0.0019157687033091,-0.0011917590927341,-0.0009177693789735,-0.0025349508112489,0.0012444123069166,0.0023863346813886,-0.0025054346363822,-0.0001201434927809,-0.0031061075311943,-0.0007404655167374,-0.0031193656187011,0
NT036_ses1,0.0021616305747657,0.0042553602562121,0.0010888791205482,0.0001803128955318,0.000460413279273,0.0005793119392792,-0.0001535032881275,-0.001869303943309,0.000633154792099,-0.0008731121394645,0.0009400196999074,-0.0002941569884949,0
NT038_ses1,0.0037208949638231,0.0005029233481829,-0.0016330902900404,-0.0002799396746675,0.0016198005176252,0.0010774413743232,0.0001714289678691,0.002032349457979,-0.0008475506040659,-0.0002973277063525,-0.0019137067187987,-0.00122354391672,1
NT039_ses1,-0.0030599551534826,0.0016030943583999,0.0011989984462345,-0.003715337142183,-0.0017569056302053,0.0008411956643444,0.0016633698638129,-0.0025740209072455,0.0036745342772593,0.0046113694201585,0.0034353156783509,-0.0016753278920416,0
NT040_ses1,0.000778810245516,0.0011975010523945,0.0038943249594312,0.000400475165623,-0.000709799021786,-0.0004283543530284,0.0021120001399878,-0.0005126658632128,0.0005318202067272,-0.0008814088244738,-0.0022579325824449,-0.0012238272195276,1
NT041_ses1,0.0031762764064648,-0.0011479952179402,9.01615007330294e-05,0.0014024458871472,0.0016604695522061,6.270770625785333e-05,-0.0019040988818566,-0.0003956304239021,-0.0011154512179234,0.0005441943516638,0.0008295261273665,0.000233528395258,1
NT042_ses1,0.0014473975653629,0.0003133821866922,0.0031471701345654,0.0043072779024862,0.0003393095758022,0.0028107167032841,0.0018121413636608,0.0004445251481631,0.0014857105680211,0.0004144639879191,-0.0036926415637754,0.0004380543851417,1
NT043_ses1,0.0034901679093859,0.0010363824952011,-0.000589111065634,-0.0003938049894313,0.0027159086593341,-0.0019358844403969,0.0020076433757321,-0.0005912282480524,-0.0013138478350707,-0.0012313535739068,0.0003767538056376,-0.0017875246792279,1
